t,p
2026-01-29 03:40:13,0.47
2026-01-29 03:50:13,0.46
2026-01-29 04:00:13,0.46
2026-01-29 04:10:13,0.46
2026-01-29 04:20:12,0.46
2026-01-29 04:30:12,0.46
2026-01-29 04:40:12,0.46
2026-01-29 04:50:12,0.44
2026-01-29 05:00:12,0.44
2026-01-29 05:10:12,0.32
2026-01-29 05:20:12,0.33
2026-01-29 05:30:12,0.33
2026-01-29 05:40:12,0.3
2026-01-29 05:50:11,0.34
2026-01-29 06:00:11,0.32
2026-01-29 06:10:12,0.32
2026-01-29 06:20:12,0.32
2026-01-29 06:30:12,0.32
2026-01-29 06:40:12,0.32
2026-01-29 06:50:12,0.32
2026-01-29 07:00:12,0.33
2026-01-29 07:10:12,0.36
2026-01-29 07:20:12,0.36
2026-01-29 07:30:12,0.34
2026-01-29 07:40:12,0.36
2026-01-29 07:50:12,0.33
2026-01-29 08:00:12,0.33
2026-01-29 08:10:12,0.14
2026-01-29 08:20:11,0.14
2026-01-29 08:30:13,0.14
2026-01-29 08:40:12,0.14
2026-01-29 08:50:12,0.14
2026-01-29 09:00:14,0.14
2026-01-29 09:10:12,0.14
2026-01-29 09:20:13,0.14
2026-01-29 09:30:12,0.13
2026-01-29 09:40:12,0.14
2026-01-29 09:50:12,0.13
2026-01-29 10:00:13,0.13
2026-01-29 10:10:13,0.14
2026-01-29 10:20:13,0.14
2026-01-29 10:30:12,0.12
2026-01-29 10:40:12,0.14
2026-01-29 10:50:13,0.14
2026-01-29 11:00:13,0.13
2026-01-29 11:10:12,0.14
2026-01-29 11:20:12,0.14
2026-01-29 11:30:11,0.14
2026-01-29 11:40:13,0.14
2026-01-29 11:50:13,0.14
2026-01-29 12:00:13,0.14
2026-01-29 12:10:12,0.14
2026-01-29 12:20:12,0.14
2026-01-29 12:30:12,0.14
2026-01-29 12:40:13,0.14
2026-01-29 12:50:12,0.14
2026-01-29 13:00:13,0.14
2026-01-29 13:10:12,0.14
2026-01-29 13:20:12,0.14
2026-01-29 13:30:12,0.13
2026-01-29 13:40:12,0.13
2026-01-29 13:50:12,0.13
2026-01-29 14:00:13,0.13
2026-01-29 14:10:13,0.13
2026-01-29 14:20:12,0.13
2026-01-29 14:30:13,0.13
2026-01-29 14:40:14,0.13
2026-01-29 14:50:13,0.13
2026-01-29 15:00:13,0.13
2026-01-29 15:10:12,0.13
2026-01-29 15:30:12,0.13
2026-01-29 15:40:12,0.13
2026-01-29 16:00:12,0.13
2026-01-29 16:10:12,0.13
2026-01-29 16:20:15,0.13
2026-01-29 16:30:12,0.13
2026-01-29 16:40:13,0.13
2026-01-29 16:50:12,0.13
