t,p
2026-01-30 15:10:18,0.47
2026-01-30 15:20:21,0.46
2026-01-30 15:30:25,0.55
2026-01-30 15:40:18,0.54
2026-01-30 15:50:19,0.54
2026-01-30 16:00:26,0.54
2026-01-30 16:10:47,0.53
2026-01-30 16:20:19,0.53
2026-01-30 16:30:24,0.53
2026-01-30 16:40:23,0.53
2026-01-30 16:50:20,0.5
2026-01-30 17:00:29,0.5
2026-01-30 17:10:18,0.49
2026-01-30 17:20:20,0.5
2026-01-30 17:30:25,0.5
2026-01-30 17:40:20,0.48
2026-01-30 17:50:58,0.47
2026-01-30 18:00:27,0.46
2026-01-30 18:10:20,0.44
2026-01-30 18:20:23,0.44
2026-01-30 18:30:27,0.44
2026-01-30 18:40:21,0.45
2026-01-30 18:50:21,0.49
2026-01-30 19:00:25,0.43
2026-01-30 19:10:35,0.52
2026-01-30 19:20:18,0.4
2026-01-30 19:30:25,0.46
2026-01-30 19:40:26,0.36
2026-01-30 19:50:22,0.5
2026-01-30 20:00:26,0.5
2026-01-30 20:10:24,0.33
2026-01-30 20:20:19,0.32
2026-01-30 20:30:25,0.4
2026-01-30 20:40:21,0.4
2026-01-30 20:50:20,0.39
2026-01-30 21:00:29,0.32
2026-01-30 21:10:19,0.31
2026-01-30 21:20:18,0.32
2026-01-30 21:30:30,0.28
2026-01-30 21:40:20,0.28
2026-01-30 21:50:19,0.26
2026-01-30 22:00:31,0.27
2026-01-30 22:10:34,0.25
2026-01-30 22:20:19,0.25
2026-01-30 22:30:26,0.28
2026-01-30 22:40:18,0.27
2026-01-30 22:50:19,0.28
2026-01-30 23:00:24,0.28
2026-01-30 23:09:17,0.26
