t,p
2026-01-30 18:20:15,0.46
2026-01-30 18:30:18,0.46
2026-01-30 18:40:16,0.47
2026-01-30 18:50:16,0.47
2026-01-30 19:00:17,0.47
2026-01-30 19:10:14,0.47
2026-01-30 19:20:14,0.47
2026-01-30 19:30:16,0.47
2026-01-30 19:40:18,0.5
2026-01-30 19:50:16,0.5
2026-01-30 20:00:17,0.51
2026-01-30 20:10:15,0.49
2026-01-30 20:20:14,0.48
2026-01-30 20:30:16,0.48
2026-01-30 20:40:15,0.49
2026-01-30 20:50:15,0.38
2026-01-30 21:00:18,0.38
2026-01-30 21:10:15,0.38
2026-01-30 21:20:13,0.37
2026-01-30 21:30:18,0.38
2026-01-30 21:40:15,0.11
2026-01-30 21:50:14,0.11
2026-01-30 22:00:19,0.35
2026-01-30 22:10:29,0.2
2026-01-30 22:20:14,0.2
2026-01-30 22:30:17,0.19
2026-01-30 22:40:14,0.16
2026-01-30 22:50:14,0.17
2026-01-30 23:00:16,0.16
2026-01-30 23:10:15,0.17
2026-01-30 23:20:16,0.17
2026-01-30 23:29:15,0.17
