t,p
2026-01-29 17:10:20,0.5
2026-01-29 17:20:20,0.48
2026-01-29 17:30:37,0.49
2026-01-29 17:40:20,0.49
2026-01-29 17:50:19,0.48
2026-01-29 18:00:28,0.48
2026-01-29 18:10:20,0.5
2026-01-29 18:20:20,0.49
2026-01-29 18:30:26,0.47
2026-01-29 18:40:50,0.48
2026-01-29 18:50:21,0.5
2026-01-29 19:00:25,0.47
2026-01-29 19:10:26,0.48
2026-01-29 19:20:33,0.5
2026-01-29 19:30:26,0.49
2026-01-29 19:40:25,0.48
2026-01-29 19:50:20,0.46
2026-01-29 20:00:36,0.46
2026-01-29 20:10:19,0.46
2026-01-29 20:20:21,0.46
2026-01-29 20:30:30,0.44
2026-01-29 20:40:20,0.46
2026-01-29 20:50:22,0.46
2026-01-29 21:00:30,0.46
2026-01-29 21:10:20,0.46
2026-01-29 21:20:19,0.51
2026-01-29 21:30:26,0.32
2026-01-29 21:40:26,0.28
2026-01-29 21:50:37,0.3
2026-01-29 22:00:26,0.27
2026-01-29 22:10:20,0.26
2026-01-29 22:20:20,0.26
2026-01-29 22:30:31,0.26
2026-01-29 22:40:19,0.27
2026-01-29 22:50:19,0.26
2026-01-29 23:00:26,0.28
2026-01-29 23:10:20,0.3
2026-01-29 23:20:52,0.28
2026-01-29 23:30:37,0.28
2026-01-29 23:40:22,0.28
2026-01-29 23:50:25,0.3
2026-01-30 00:00:35,0.3
2026-01-30 00:10:18,0.3
2026-01-30 00:20:31,0.3
2026-01-30 00:30:25,0.29
2026-01-30 00:40:41,0.3
2026-01-30 00:50:19,0.3
2026-01-30 01:00:25,0.3
2026-01-30 01:10:25,0.3
2026-01-30 01:20:19,0.3
2026-01-30 01:30:25,0.28
2026-01-30 01:40:26,0.3
2026-01-30 01:50:27,0.28
2026-01-30 02:00:26,0.3
2026-01-30 02:10:19,0.28
2026-01-30 02:20:20,0.29
2026-01-30 02:30:26,0.29
2026-01-30 02:40:47,0.28
2026-01-30 02:50:20,0.28
2026-01-30 03:00:29,0.29
2026-01-30 03:10:21,0.28
2026-01-30 03:20:21,0.28
2026-01-30 03:30:30,0.29
2026-01-30 03:40:24,0.3
2026-01-30 03:50:20,0.29
2026-01-30 04:00:26,0.29
2026-01-30 04:10:20,0.28
2026-01-30 04:20:20,0.3
2026-01-30 04:30:30,0.3
2026-01-30 04:40:19,0.28
2026-01-30 04:50:21,0.28
2026-01-30 05:00:26,0.29
2026-01-30 05:10:20,0.28
2026-01-30 05:20:18,0.26
2026-01-30 05:30:26,0.26
2026-01-30 05:40:19,0.26
2026-01-30 05:50:24,0.26
2026-01-30 06:00:28,0.26
2026-01-30 06:10:19,0.26
2026-01-30 06:20:19,0.26
2026-01-30 06:30:31,0.26
2026-01-30 06:40:19,0.26
2026-01-30 06:50:18,0.26
2026-01-30 07:00:26,0.26
2026-01-30 07:10:18,0.26
2026-01-30 07:20:19,0.26
2026-01-30 07:30:31,0.26
2026-01-30 07:40:24,0.26
2026-01-30 07:50:27,0.26
2026-01-30 08:00:25,0.26
2026-01-30 08:10:19,0.26
2026-01-30 08:20:19,0.26
2026-01-30 08:30:25,0.26
2026-01-30 08:40:24,0.26
2026-01-30 08:50:19,0.26
2026-01-30 09:10:19,0.26
2026-01-30 09:20:19,0.26
2026-01-30 09:30:30,0.26
2026-01-30 09:40:19,0.26
2026-01-30 09:50:24,0.26
2026-01-30 10:00:26,0.27
2026-01-30 10:10:18,0.27
2026-01-30 10:20:19,0.28
2026-01-30 10:30:27,0.27
2026-01-30 10:40:19,0.27
2026-01-30 10:50:18,0.28
2026-01-30 11:00:56,0.28
2026-01-30 11:10:19,0.27
2026-01-30 11:20:21,0.27
2026-01-30 11:30:26,0.27
2026-01-30 11:40:29,0.27
2026-01-30 11:50:21,0.27
2026-01-30 12:00:52,0.27
2026-01-30 12:10:19,0.27
2026-01-30 12:20:20,0.28
2026-01-30 12:30:29,0.28
2026-01-30 12:40:21,0.28
2026-01-30 12:50:19,0.28
2026-01-30 13:00:26,0.27
2026-01-30 13:10:19,0.27
2026-01-30 13:20:25,0.27
2026-01-30 13:30:27,0.27
2026-01-30 13:40:25,0.27
2026-01-30 13:50:20,0.27
2026-01-30 14:00:26,0.27
2026-01-30 14:10:19,0.27
2026-01-30 14:20:19,0.28
2026-01-30 14:30:33,0.28
2026-01-30 14:40:20,0.28
2026-01-30 14:50:19,0.28
2026-01-30 15:00:31,0.28
2026-01-30 15:10:19,0.27
2026-01-30 15:20:22,0.28
2026-01-30 15:30:27,0.28
2026-01-30 15:40:19,0.28
2026-01-30 15:50:20,0.27
2026-01-30 16:00:27,0.27
2026-01-30 16:10:51,0.28
2026-01-30 16:20:20,0.28
2026-01-30 16:30:25,0.28
2026-01-30 16:40:25,0.22
2026-01-30 16:50:20,0.24
2026-01-30 17:00:31,0.2
2026-01-30 17:10:19,0.2
2026-01-30 17:20:21,0.2
2026-01-30 17:30:26,0.22
2026-01-30 17:40:21,0.22
2026-01-30 18:00:29,0.21
2026-01-30 18:10:20,0.2
2026-01-30 18:20:24,0.2
2026-01-30 18:30:28,0.2
2026-01-30 18:40:22,0.2
2026-01-30 18:50:22,0.2
2026-01-30 19:00:27,0.2
2026-01-30 19:10:40,0.2
2026-01-30 19:20:19,0.2
2026-01-30 19:30:26,0.2
2026-01-30 19:40:27,0.21
2026-01-30 19:50:23,0.23
2026-01-30 20:00:27,0.21
2026-01-30 20:10:25,0.2
2026-01-30 20:20:20,0.2
2026-01-30 20:30:26,0.2
2026-01-30 20:40:22,0.2
2026-01-30 20:50:20,0.2
2026-01-30 21:00:31,0.2
2026-01-30 21:10:20,0.2
2026-01-30 21:20:19,0.2
2026-01-30 21:30:32,0.21
2026-01-30 21:40:21,0.2
2026-01-30 21:50:19,0.2
2026-01-30 22:00:33,0.23
2026-01-30 22:10:35,0.21
2026-01-30 22:20:19,0.21
2026-01-30 22:30:28,0.21
2026-01-30 22:40:19,0.21
2026-01-30 22:50:20,0.21
2026-01-30 23:00:26,0.2
2026-01-30 23:10:21,0.2
2026-01-30 23:20:25,0.2
2026-01-30 23:30:27,0.2
2026-01-30 23:35:21,0.2
