t,p
2026-01-29 18:20:18,0.49
2026-01-29 18:30:22,0.5
2026-01-29 18:40:37,0.5
2026-01-29 18:50:18,0.5
2026-01-29 19:00:21,0.5
2026-01-29 19:10:22,0.5
2026-01-29 19:20:31,0.5
2026-01-29 19:30:22,0.51
2026-01-29 19:40:21,0.51
2026-01-29 19:50:17,0.52
2026-01-29 20:00:32,0.52
2026-01-29 20:10:17,0.53
2026-01-29 20:20:19,0.53
2026-01-29 20:30:25,0.56
2026-01-29 20:40:17,0.54
2026-01-29 20:50:20,0.57
2026-01-29 21:00:24,0.59
2026-01-29 21:10:17,0.34
2026-01-29 21:20:16,0.32
2026-01-29 21:30:22,0.34
2026-01-29 21:40:22,0.33
2026-01-29 21:50:34,0.32
2026-01-29 22:00:22,0.33
2026-01-29 22:10:17,0.33
2026-01-29 22:20:17,0.34
2026-01-29 22:30:26,0.34
2026-01-29 22:40:17,0.34
2026-01-29 22:50:17,0.34
2026-01-29 23:00:22,0.34
2026-01-29 23:10:17,0.34
2026-01-29 23:20:39,0.34
2026-01-29 23:30:29,0.34
2026-01-29 23:40:19,0.34
2026-01-29 23:50:21,0.34
2026-01-30 00:00:29,0.4
2026-01-30 00:10:16,0.41
2026-01-30 00:20:29,0.41
2026-01-30 00:30:21,0.42
2026-01-30 00:40:32,0.42
2026-01-30 00:50:17,0.42
2026-01-30 01:00:21,0.42
2026-01-30 01:10:21,0.42
2026-01-30 01:20:17,0.42
2026-01-30 01:30:21,0.42
2026-01-30 01:40:22,0.42
2026-01-30 01:50:22,0.42
2026-01-30 02:00:22,0.43
2026-01-30 02:10:17,0.43
2026-01-30 02:20:17,0.43
2026-01-30 02:30:22,0.44
2026-01-30 02:40:36,0.43
2026-01-30 02:50:18,0.44
2026-01-30 03:00:24,0.44
2026-01-30 03:10:18,0.44
2026-01-30 03:20:18,0.43
2026-01-30 03:30:24,0.43
2026-01-30 03:40:20,0.43
2026-01-30 03:50:18,0.43
2026-01-30 04:00:22,0.43
2026-01-30 04:10:18,0.43
2026-01-30 04:20:17,0.43
2026-01-30 04:30:24,0.43
2026-01-30 04:40:17,0.43
2026-01-30 04:50:18,0.43
2026-01-30 05:00:21,0.43
2026-01-30 05:10:17,0.43
2026-01-30 05:20:16,0.44
2026-01-30 05:30:21,0.44
2026-01-30 05:40:16,0.44
2026-01-30 05:50:20,0.44
2026-01-30 06:00:23,0.44
2026-01-30 06:10:17,0.44
2026-01-30 06:20:17,0.44
2026-01-30 06:30:24,0.44
2026-01-30 06:40:16,0.44
2026-01-30 06:50:16,0.44
2026-01-30 07:00:21,0.44
2026-01-30 07:10:16,0.44
2026-01-30 07:20:16,0.44
2026-01-30 07:30:25,0.44
2026-01-30 07:40:20,0.44
2026-01-30 07:50:22,0.44
2026-01-30 08:00:21,0.44
2026-01-30 08:10:17,0.45
2026-01-30 08:20:17,0.46
2026-01-30 08:30:20,0.46
2026-01-30 08:40:20,0.46
2026-01-30 08:50:17,0.46
2026-01-30 09:00:44,0.46
2026-01-30 09:10:16,0.46
