t,p
2026-01-30 18:20:23,0.38
2026-01-30 18:30:26,0.38
2026-01-30 18:40:21,0.38
2026-01-30 18:50:20,0.38
2026-01-30 19:00:25,0.45
2026-01-30 19:10:33,0.5
2026-01-30 19:20:18,0.48
2026-01-30 19:30:24,0.46
2026-01-30 19:40:26,0.46
2026-01-30 19:50:22,0.46
2026-01-30 20:00:26,0.46
2026-01-30 20:10:23,0.54
2026-01-30 20:20:19,0.54
2026-01-30 20:30:24,0.53
2026-01-30 20:40:21,0.53
2026-01-30 20:50:19,0.51
2026-01-30 21:00:29,0.48
2026-01-30 21:10:19,0.48
2026-01-30 21:20:18,0.48
2026-01-30 21:30:30,0.42
2026-01-30 21:40:20,0.42
2026-01-30 21:50:18,0.48
2026-01-30 22:00:30,0.55
2026-01-30 22:10:34,0.48
2026-01-30 22:20:18,0.47
2026-01-30 22:30:26,0.46
2026-01-30 22:40:18,0.44
2026-01-30 22:50:18,0.43
2026-01-30 23:00:24,0.43
2026-01-30 23:10:20,0.41
2026-01-30 23:20:23,0.4
2026-01-30 23:29:20,0.4
