t,p
2026-01-28 00:10:11,0.5
2026-01-28 00:20:11,0.5
2026-01-28 00:30:10,0.5
2026-01-28 00:40:11,0.5
2026-01-28 00:50:11,0.49
2026-01-28 01:00:10,0.48
2026-01-28 01:10:12,0.48
2026-01-28 01:20:11,0.48
2026-01-28 01:30:10,0.48
2026-01-28 01:40:11,0.48
2026-01-28 01:50:10,0.48
2026-01-28 02:00:11,0.48
2026-01-28 02:10:11,0.48
2026-01-28 02:20:11,0.48
2026-01-28 02:30:11,0.48
2026-01-28 02:40:10,0.48
2026-01-28 02:50:11,0.48
2026-01-28 03:00:11,0.48
2026-01-28 03:10:11,0.48
2026-01-28 03:20:07,0.48
2026-01-28 03:20:28,0.48
2026-01-28 03:30:11,0.48
2026-01-28 03:40:11,0.48
2026-01-28 03:50:12,0.48
2026-01-28 04:00:11,0.7
2026-01-28 04:10:11,0.83
2026-01-28 04:20:10,0.83
2026-01-28 04:30:10,0.84
2026-01-28 04:40:10,0.84
2026-01-28 04:50:10,0.84
2026-01-28 05:00:10,0.84
2026-01-28 05:10:10,0.84
2026-01-28 05:20:11,0.84
2026-01-28 05:30:10,0.84
2026-01-28 05:40:10,0.84
2026-01-28 05:50:10,0.84
2026-01-28 06:00:10,0.85
2026-01-28 06:10:11,0.86
2026-01-28 06:20:12,0.86
2026-01-28 06:30:12,0.86
2026-01-28 06:40:11,0.87
2026-01-28 06:50:10,0.88
2026-01-28 07:00:11,0.89
2026-01-28 07:10:11,0.9
2026-01-28 07:20:11,0.87
2026-01-28 07:30:11,0.87
2026-01-28 07:40:11,0.88
2026-01-28 07:50:10,0.9
2026-01-28 08:00:11,0.88
2026-01-28 08:10:11,0.89
2026-01-28 08:20:11,0.9
2026-01-28 08:30:10,0.88
2026-01-28 08:40:12,0.9
2026-01-28 08:50:10,0.88
2026-01-28 09:00:11,0.88
2026-01-28 09:10:11,0.9
2026-01-28 09:20:10,0.93
2026-01-28 09:30:12,0.93
2026-01-28 09:40:10,0.93
2026-01-28 09:50:11,0.93
2026-01-28 10:00:16,0.93
2026-01-28 10:10:12,0.93
2026-01-28 10:20:11,0.93
2026-01-28 10:30:10,0.93
2026-01-28 10:40:11,0.93
2026-01-28 10:50:10,0.93
2026-01-28 11:00:11,0.93
2026-01-28 11:10:11,0.93
2026-01-28 11:20:11,0.93
2026-01-28 11:30:11,0.93
2026-01-28 11:40:12,0.93
2026-01-28 11:50:11,0.93
2026-01-28 12:00:11,0.88
2026-01-28 12:10:11,0.9
2026-01-28 12:20:10,0.9
2026-01-28 12:30:11,0.88
2026-01-28 12:40:11,0.88
2026-01-28 12:50:10,0.88
2026-01-28 13:00:11,0.88
2026-01-28 13:10:11,0.9
2026-01-28 13:20:11,0.91
2026-01-28 13:30:10,0.9
2026-01-28 13:40:11,0.89
2026-01-28 13:50:11,0.89
2026-01-28 14:00:11,0.88
2026-01-28 14:10:11,0.88
2026-01-28 14:20:11,0.88
2026-01-28 14:30:11,0.86
2026-01-28 14:40:11,0.86
2026-01-28 14:50:11,0.86
2026-01-28 15:00:11,0.86
2026-01-28 15:10:12,0.86
2026-01-28 15:20:12,0.86
2026-01-28 15:30:12,0.86
2026-01-28 15:40:11,0.86
2026-01-28 15:50:11,0.86
2026-01-28 16:00:11,0.86
2026-01-28 16:10:12,0.86
2026-01-28 16:20:10,0.86
2026-01-28 16:30:11,0.86
2026-01-28 16:40:13,0.86
2026-01-28 16:50:11,0.86
2026-01-28 17:00:11,0.86
2026-01-28 17:10:24,0.86
2026-01-28 17:20:11,0.86
2026-01-28 17:30:11,0.86
2026-01-28 17:40:11,0.86
2026-01-28 17:50:11,0.85
2026-01-28 18:00:11,0.84
2026-01-28 18:10:12,0.86
2026-01-28 18:20:11,0.86
2026-01-28 18:30:11,0.86
2026-01-28 18:40:11,0.86
2026-01-28 18:50:11,0.86
2026-01-28 19:00:11,0.86
2026-01-28 19:10:11,0.86
2026-01-28 19:20:11,0.86
2026-01-28 19:30:11,0.86
2026-01-28 19:40:11,0.86
2026-01-28 19:50:11,0.86
2026-01-28 20:00:11,0.86
2026-01-28 20:10:11,0.9
2026-01-28 20:20:10,0.9
2026-01-28 20:30:11,0.9
2026-01-28 20:40:11,0.9
2026-01-28 20:50:10,0.9
2026-01-28 21:00:11,0.9
2026-01-28 21:10:11,0.9
2026-01-28 21:20:11,0.86
2026-01-28 21:30:11,0.86
2026-01-28 21:40:12,0.86
2026-01-28 21:50:11,0.86
2026-01-28 22:00:12,0.86
2026-01-28 22:10:11,0.86
2026-01-28 22:20:12,0.86
2026-01-28 22:30:13,0.86
2026-01-28 22:40:12,0.86
2026-01-28 22:50:12,0.86
2026-01-28 23:00:12,0.86
2026-01-28 23:10:12,0.86
2026-01-28 23:20:11,0.88
2026-01-28 23:30:12,0.9
2026-01-28 23:40:12,0.9
2026-01-28 23:50:12,0.9
2026-01-29 00:00:26,0.91
2026-01-29 00:10:11,0.9
2026-01-29 00:20:11,0.9
2026-01-29 00:30:12,0.9
2026-01-29 00:40:12,0.9
2026-01-29 00:50:12,0.9
2026-01-29 01:00:12,0.9
2026-01-29 01:10:11,0.9
2026-01-29 01:20:13,0.9
2026-01-29 01:30:12,0.9
2026-01-29 01:40:12,0.9
2026-01-29 01:50:11,0.9
2026-01-29 02:00:11,0.9
2026-01-29 02:10:12,0.9
2026-01-29 02:20:12,0.9
2026-01-29 02:30:13,0.9
2026-01-29 02:40:11,0.9
2026-01-29 02:50:12,0.9
2026-01-29 03:00:14,0.9
2026-01-29 03:10:12,0.9
2026-01-29 03:20:11,0.9
2026-01-29 03:30:12,0.9
2026-01-29 03:40:12,0.9
2026-01-29 03:50:13,0.9
2026-01-29 04:00:12,0.9
2026-01-29 04:10:13,0.9
2026-01-29 04:20:12,0.9
2026-01-29 04:30:12,0.9
2026-01-29 04:40:11,0.9
2026-01-29 04:50:11,0.9
2026-01-29 05:00:12,0.9
2026-01-29 05:10:11,0.9
2026-01-29 05:20:12,0.9
2026-01-29 05:30:12,0.9
2026-01-29 05:40:11,0.9
2026-01-29 05:50:11,0.9
2026-01-29 06:00:11,0.9
2026-01-29 06:10:12,0.9
2026-01-29 06:20:12,0.9
2026-01-29 06:30:12,0.9
2026-01-29 06:40:12,0.9
2026-01-29 06:50:12,0.9
2026-01-29 07:00:12,0.9
2026-01-29 07:10:12,0.9
2026-01-29 07:20:11,0.9
2026-01-29 07:30:11,0.9
2026-01-29 07:40:11,0.9
2026-01-29 07:50:11,0.9
2026-01-29 08:00:12,0.9
2026-01-29 08:10:12,0.9
2026-01-29 08:20:11,0.9
2026-01-29 08:30:12,0.9
2026-01-29 08:40:11,0.9
