t,p
2026-01-30 15:10:13,0.5
2026-01-30 15:20:14,0.5
2026-01-30 15:30:15,0.49
2026-01-30 15:40:13,0.48
2026-01-30 15:50:14,0.48
2026-01-30 16:00:16,0.48
2026-01-30 16:10:19,0.48
2026-01-30 16:20:14,0.48
2026-01-30 16:30:15,0.48
2026-01-30 16:40:14,0.48
2026-01-30 16:50:14,0.48
2026-01-30 17:00:16,0.48
2026-01-30 17:10:13,0.48
2026-01-30 17:20:15,0.48
2026-01-30 17:30:15,0.38
2026-01-30 17:40:15,0.32
2026-01-30 17:50:33,0.32
2026-01-30 18:00:16,0.37
2026-01-30 18:10:14,0.34
2026-01-30 18:20:14,0.34
2026-01-30 18:30:17,0.34
2026-01-30 18:40:16,0.38
2026-01-30 18:50:15,0.38
2026-01-30 19:00:16,0.38
2026-01-30 19:10:14,0.36
2026-01-30 19:20:13,0.38
2026-01-30 19:30:14,0.39
2026-01-30 19:40:16,0.4
2026-01-30 19:50:15,0.38
2026-01-30 20:00:15,0.38
2026-01-30 20:10:14,0.39
2026-01-30 20:20:13,0.4
2026-01-30 20:30:15,0.5
2026-01-30 20:40:14,0.44
2026-01-30 20:50:14,0.41
2026-01-30 21:00:17,0.4
2026-01-30 21:10:14,0.4
2026-01-30 21:20:13,0.41
2026-01-30 21:30:16,0.6
2026-01-30 21:40:15,0.59
2026-01-30 21:50:13,0.59
2026-01-30 22:00:17,0.59
2026-01-30 22:10:28,0.59
2026-01-30 22:20:13,0.59
2026-01-30 22:30:16,0.59
2026-01-30 22:40:13,0.59
2026-01-30 22:50:13,0.59
2026-01-30 23:00:15,0.59
2026-01-30 23:08:14,0.58
