t,p
2026-01-28 00:10:12,0.47
2026-01-28 00:20:11,0.47
2026-01-28 00:30:11,0.47
2026-01-28 00:40:12,0.47
2026-01-28 00:50:12,0.46
2026-01-28 01:00:14,0.44
2026-01-28 01:10:12,0.46
2026-01-28 01:20:12,0.45
2026-01-28 01:30:11,0.44
2026-01-28 01:40:12,0.44
2026-01-28 01:50:11,0.44
2026-01-28 02:00:13,0.44
2026-01-28 02:10:12,0.44
2026-01-28 02:20:12,0.44
2026-01-28 02:30:13,0.44
2026-01-28 02:40:11,0.44
2026-01-28 02:50:12,0.44
2026-01-28 03:00:13,0.44
2026-01-28 03:10:11,0.46
2026-01-28 03:20:08,0.46
2026-01-28 03:20:29,0.46
2026-01-28 03:30:13,0.46
2026-01-28 03:40:12,0.46
2026-01-28 03:50:13,0.46
2026-01-28 04:00:15,0.47
2026-01-28 04:10:12,0.46
2026-01-28 04:20:11,0.46
2026-01-28 04:30:12,0.46
2026-01-28 04:40:11,0.45
2026-01-28 04:50:12,0.46
2026-01-28 05:00:12,0.46
2026-01-28 05:10:11,0.44
2026-01-28 05:20:14,0.44
2026-01-28 05:30:12,0.45
2026-01-28 05:40:11,0.44
2026-01-28 05:50:11,0.43
2026-01-28 06:00:12,0.44
2026-01-28 06:10:12,0.42
2026-01-28 06:20:12,0.42
2026-01-28 06:30:14,0.44
2026-01-28 06:40:12,0.42
2026-01-28 06:50:11,0.44
2026-01-28 07:00:12,0.44
2026-01-28 07:10:12,0.42
2026-01-28 07:20:12,0.43
2026-01-28 07:30:13,0.42
2026-01-28 07:40:13,0.42
2026-01-28 07:50:11,0.42
2026-01-28 08:00:12,0.44
2026-01-28 08:10:12,0.42
2026-01-28 08:20:11,0.42
2026-01-28 08:30:14,0.42
2026-01-28 08:40:13,0.42
2026-01-28 08:50:11,0.42
2026-01-28 09:00:14,0.42
2026-01-28 09:10:12,0.42
2026-01-28 09:20:11,0.42
2026-01-28 09:30:13,0.42
2026-01-28 09:40:11,0.42
2026-01-28 09:50:12,0.42
2026-01-28 10:00:20,0.42
2026-01-28 10:10:13,0.42
2026-01-28 10:20:11,0.42
2026-01-28 10:30:12,0.42
2026-01-28 10:40:12,0.42
2026-01-28 10:50:11,0.42
2026-01-28 11:00:12,0.42
2026-01-28 11:10:12,0.41
2026-01-28 11:20:13,0.41
2026-01-28 11:30:12,0.38
2026-01-28 11:40:13,0.38
2026-01-28 11:50:12,0.38
2026-01-28 12:00:16,0.38
2026-01-28 12:10:12,0.38
2026-01-28 12:20:12,0.38
2026-01-28 12:30:12,0.38
2026-01-28 12:40:12,0.38
2026-01-28 12:50:11,0.38
2026-01-28 13:00:15,0.38
2026-01-28 13:10:12,0.38
2026-01-28 13:20:15,0.38
2026-01-28 13:30:11,0.38
2026-01-28 13:40:11,0.38
2026-01-28 13:50:12,0.38
2026-01-28 14:00:12,0.38
2026-01-28 14:10:12,0.38
2026-01-28 14:20:15,0.38
2026-01-28 14:30:12,0.38
2026-01-28 14:40:12,0.38
2026-01-28 14:50:13,0.38
2026-01-28 15:00:13,0.38
2026-01-28 15:10:13,0.38
2026-01-28 15:20:13,0.38
2026-01-28 15:30:13,0.38
2026-01-28 15:40:12,0.38
2026-01-28 15:50:12,0.38
2026-01-28 16:00:12,0.38
2026-01-28 16:10:12,0.38
2026-01-28 16:20:11,0.37
2026-01-28 16:30:12,0.18
2026-01-28 16:40:14,0.2
2026-01-28 16:50:12,0.16
2026-01-28 17:00:13,0.19
2026-01-28 17:10:26,0.2
2026-01-28 17:20:12,0.14
2026-01-28 17:30:12,0.18
2026-01-28 17:40:12,0.18
2026-01-28 17:50:12,0.18
2026-01-28 18:00:16,0.18
2026-01-28 18:10:12,0.16
2026-01-28 18:20:12,0.18
2026-01-28 18:30:13,0.18
2026-01-28 18:40:12,0.14
2026-01-28 18:50:12,0.16
2026-01-28 19:00:13,0.17
2026-01-28 19:10:12,0.14
2026-01-28 19:20:11,0.19
2026-01-28 19:30:13,0.14
2026-01-28 19:40:12,0.3
2026-01-28 19:50:13,0.14
2026-01-28 20:00:14,0.17
2026-01-28 20:10:12,0.26
2026-01-28 20:20:11,0.16
2026-01-28 20:30:12,0.23
2026-01-28 20:40:12,0.15
2026-01-28 20:50:12,0.27
2026-01-28 21:00:12,0.15
2026-01-28 21:10:11,0.16
2026-01-28 21:20:12,0.12
2026-01-28 21:30:12,0.12
2026-01-28 21:40:13,0.1
2026-01-28 21:50:12,0.12
2026-01-28 22:00:13,0.12
2026-01-28 22:10:12,0.12
2026-01-28 22:20:13,0.08
2026-01-28 22:30:14,0.07
2026-01-28 22:40:13,0.07
2026-01-28 22:50:13,0.07
2026-01-28 23:00:13,0.07
2026-01-28 23:10:13,0.08
2026-01-28 23:20:12,0.08
2026-01-28 23:30:14,0.07
2026-01-28 23:40:13,0.07
2026-01-28 23:50:13,0.07
2026-01-29 00:00:29,0.05
2026-01-29 00:10:12,0.05
2026-01-29 00:20:12,0.05
2026-01-29 00:30:14,0.05
2026-01-29 00:40:13,0.06
2026-01-29 00:50:13,0.06
2026-01-29 01:00:13,0.06
2026-01-29 01:10:12,0.05
2026-01-29 01:20:13,0.06
2026-01-29 01:30:13,0.06
2026-01-29 01:40:12,0.06
2026-01-29 01:50:12,0.06
2026-01-29 02:00:13,0.06
2026-01-29 02:10:13,0.05
2026-01-29 02:20:13,0.06
2026-01-29 02:30:14,0.06
2026-01-29 02:40:12,0.06
2026-01-29 02:50:13,0.05
2026-01-29 03:00:16,0.06
2026-01-29 03:10:13,0.05
2026-01-29 03:20:12,0.05
2026-01-29 03:30:13,0.05
2026-01-29 03:40:13,0.05
2026-01-29 03:50:13,0.05
2026-01-29 04:00:14,0.05
2026-01-29 04:10:14,0.05
2026-01-29 04:20:13,0.05
2026-01-29 04:30:13,0.05
2026-01-29 04:40:13,0.05
2026-01-29 04:50:13,0.05
2026-01-29 05:00:13,0.05
2026-01-29 05:10:12,0.05
2026-01-29 05:20:12,0.05
2026-01-29 05:30:13,0.05
2026-01-29 05:40:12,0.05
2026-01-29 05:50:11,0.06
2026-01-29 06:00:13,0.06
2026-01-29 06:10:13,0.06
2026-01-29 06:20:12,0.06
2026-01-29 06:30:13,0.06
2026-01-29 06:40:13,0.06
2026-01-29 06:50:13,0.06
2026-01-29 07:00:13,0.06
2026-01-29 07:10:12,0.06
2026-01-29 07:20:12,0.05
2026-01-29 07:30:15,0.05
2026-01-29 07:40:13,0.05
2026-01-29 07:50:13,0.04
2026-01-29 08:00:13,0.04
2026-01-29 08:10:12,0.04
2026-01-29 08:20:12,0.04
2026-01-29 08:30:14,0.04
2026-01-29 08:40:15,0.04
2026-01-29 08:50:13,0.06
2026-01-29 09:00:15,0.04
2026-01-29 09:10:13,0.06
2026-01-29 09:20:13,0.06
2026-01-29 09:30:13,0.06
2026-01-29 09:40:13,0.06
2026-01-29 09:50:12,0.06
2026-01-29 10:00:14,0.06
2026-01-29 10:10:13,0.06
2026-01-29 10:20:13,0.06
2026-01-29 10:30:13,0.06
2026-01-29 10:40:13,0.05
2026-01-29 10:50:14,0.05
2026-01-29 11:00:14,0.05
2026-01-29 11:10:13,0.05
2026-01-29 11:20:13,0.04
2026-01-29 11:30:13,0.05
2026-01-29 11:40:13,0.05
2026-01-29 11:50:13,0.04
2026-01-29 12:00:16,0.05
