t,p
2026-01-30 15:50:19,0.45
2026-01-30 16:00:26,0.44
2026-01-30 16:10:48,0.44
2026-01-30 16:20:19,0.7
2026-01-30 16:30:24,0.74
2026-01-30 16:40:24,0.73
2026-01-30 16:50:20,0.74
2026-01-30 17:00:29,0.74
2026-01-30 17:10:19,0.74
2026-01-30 17:20:20,0.74
2026-01-30 17:30:25,0.74
2026-01-30 17:40:20,0.74
2026-01-30 17:50:59,0.74
2026-01-30 18:00:28,0.74
2026-01-30 18:10:20,0.36
2026-01-30 18:20:23,0.3
2026-01-30 18:30:27,0.3
2026-01-30 18:40:21,0.3
2026-01-30 18:50:21,0.3
2026-01-30 19:00:26,0.69
2026-01-30 19:10:37,0.7
2026-01-30 19:20:18,0.71
2026-01-30 19:30:25,0.72
2026-01-30 19:40:26,0.72
2026-01-30 19:50:22,0.72
2026-01-30 20:00:26,0.72
2026-01-30 20:10:24,0.73
2026-01-30 20:20:19,0.73
2026-01-30 20:30:25,0.73
2026-01-30 20:40:21,0.73
2026-01-30 20:50:20,0.73
2026-01-30 21:00:29,0.73
2026-01-30 21:10:20,0.74
2026-01-30 21:20:18,0.76
2026-01-30 21:30:31,0.77
2026-01-30 21:40:20,0.77
2026-01-30 21:50:19,0.78
2026-01-30 22:00:31,0.77
2026-01-30 22:10:34,0.78
2026-01-30 22:20:19,0.78
2026-01-30 22:30:27,0.78
2026-01-30 22:40:19,0.78
2026-01-30 22:50:19,0.78
2026-01-30 23:00:25,0.72
2026-01-30 23:07:18,0.77
